Subject,Hdefault,Adaptivity,Noise,Norm_Ipast,Ipast,Ifuture,X_Ipast,X_Ifuture,Corr_S1,Corr_S2,Corr_S3
NI1545,0.0237652849598746,-0.113574791313718,5.22648464582031,-0.0679769013545141,0.0333512620435651,0.0129511781790492,0.101328163398079,0.101328163398079,NaN,NaN,0.558558558558559
NM8919,0.269018448933083,0.278184945188014,0.506447171450754,0.293523368100937,0.349679711186,0.223018911122123,0.0561563430850631,0.0561515009449643,0.802802802802803,0.623623623623624,NaN
NN8813,0.21754900623235,0.554994683698896,0.913629004049075,0.130407820340841,0.171336438163507,0.0843082912530106,0.0409286178226655,0.0409286178226655,NaN,0.625625625625626,NaN
NS969,0.275445453144497,0.346226498352035,0.557580477337008,0.288734809834061,0.344891152919124,0.22797047936029,0.0561563430850631,0.0561515009449643,0.806806806806807,0.668668668668669,NaN
NT8981,0.367543615078124,0.129269522908895,0.17933514671979,0.151855802367963,0.208012145453026,0.143311534619993,0.0561563430850631,0.0561515009449643,0.771771771771772,0.60960960960961,NaN
OI8972,0.482483546204305,-0.00420795491022495,0.055071997733558,-0.0897617354369807,0.0183077966057253,0.0436424217135932,0.108069532042706,0.108027119326742,0.626626626626627,NaN,NaN
OO8992,0.367268177160931,0.170122603614542,0.379321969851495,0.106001378070277,0.207329541468356,0.141881890080749,0.101328163398079,0.101328163398079,NaN,NaN,0.712712712712713
TO8820,0.292251479316346,0.199261951740804,0.261290026540975,0.269620903693592,0.310549521516258,0.123719883683624,0.0409286178226655,0.0409286178226655,NaN,0.643643643643644,NaN
UX8973,0.37136928470303,0.541170120519039,1.33478495015217,0.148945808438901,0.205102151523964,0.118764669227936,0.0561563430850631,0.0561515009449643,0.705705705705706,0.636636636636637,NaN
YL13,0.344774848268138,0.504623537580577,1.07858818939237,0.267084814564293,0.323241157649356,0.137089312550453,0.0561563430850631,0.0561515009449643,0.742742742742743,0.621621621621622,NaN
AH10,0.327762046222629,0.451511757293857,0.766025909581189,0.225638741401153,0.281795084486216,0.220327142453305,0.0561563430850631,0.0561515009449643,0.790790790790791,0.64964964964965,NaN
AN14,0.221524779543805,0.641240337855392,0.849255233292571,0.292236014938202,0.333164632760868,0.19913277593833,0.0409286178226655,0.0409286178226655,NaN,0.685685685685686,NaN
AV12,0.460934588475253,0.0436881956049721,0.0642664081798058,0.0881141353523187,0.129042753174984,0.0679771348057757,0.0409286178226655,0.0409286178226655,NaN,0.60960960960961,NaN
