Var1,x,z,h,expH_bayes1,expH_bayes2,e1,e2,q1exp1,q1exp2
742,0,1,0.01,0.0378652038667858,0.493345955688764,1.92358816070473,1.91077422784078,0.986236236618508,0.802618455499983
743,1,2,0.01,0.0637617388235414,0.493606074317396,2.29199800328559,1.91015685771767,0.824867194384818,0.202693858821295
744,0,2,0.01,0.0571651975471286,0.493855632724287,2.11529023018472,1.91001546075413,0.951090168632545,0.797712834096187
745,1,2,0.01,0.107979793761667,0.494103337833873,2.65582244616179,1.9097980810919,0.701419529264259,0.202201094333126
746,1,2,0.01,0.13016952125764,0.49397754326476,3.07929898101794,1.90994273785924,0.430376157584626,0.19790940162081
747,1,2,0.01,0.139463905291803,0.493847266371831,3.27270083605961,1.91060143785989,0.185459145474519,0.197581188529925
748,1,2,0.01,0.116802244177751,0.493717452249734,3.17307652065352,1.91129875259708,0.0890927489786482,0.197525487868684
749,1,2,0.01,0.0998302917135651,0.493588593628802,3.0354318645494,1.91202554217902,0.0474869146031774,0.197475219300629
750,1,2,0.01,0.0835820042128538,0.493460682654254,2.88394736469624,1.91278060254821,0.0347175753258872,0.197425678717937
751,0,2,0.01,0.128935650466178,0.4937203632636,3.30693573465275,1.91209778385216,0.311498485369857,0.797350431071623
752,0,2,0.01,0.159792125138831,0.493598348048944,3.63765680585909,1.91230543679832,0.606527859171189,0.80222490257097
753,0,2,0.01,0.166769868542446,0.493470807965347,3.73460363781294,1.913044773041,0.820133951981021,0.802563699735764
754,1,2,0.01,0.20250645425317,0.493730468977169,3.8934683307684,1.91235401540824,0.376932620039613,0.202645243675738
755,1,2,0.01,0.184538174094896,0.493608251440683,3.80118132551917,1.91256012379903,0.18331018609991,0.197778893474913
756,1,2,0.01,0.163621000634651,0.493480513840228,3.66377133581014,1.91329840824061,0.0889150722221755,0.197440018780577
757,1,2,0.01,0.136691550696539,0.493353149835633,3.47839764683584,1.91407802574429,0.0609385665483502,0.197384387333296
758,1,2,0.01,0.117425239441317,0.493226680756441,3.31664046261616,1.91488754811815,0.0456199606474566,0.197334985375711
759,1,2,0.01,0.101214405497993,0.493101101520318,3.16385697368677,1.91572564286028,0.0386778036197737,0.197286315641916
760,1,2,0.01,0.0893202299146464,0.492976392990673,3.03305139339904,1.91659229544866,0.033264186616789,0.197237985758656
761,1,2,0.01,0.0798071932919546,0.492852534920095,2.91626290831587,1.91748752055588,0.029660444539767,0.197189976040949
762,0,2,0.01,0.116968838652484,0.493120618957299,3.3021786366365,1.91687378458931,0.305075275932068,0.797111321511206
763,1,2,0.01,0.104629375148694,0.493377374749544,3.11464438995561,1.91674349938855,0.0906460732221107,0.202467853831177
764,0,2,0.01,0.162529074383729,0.493632246960931,3.58582211626057,1.91652980205527,0.443203670944521,0.79762010084598
765,0,2,0.01,0.176724725567215,0.493508921304882,3.78798533402958,1.91675200702612,0.698689201595071,0.802263847321803
766,1,2,0.01,0.184458128675631,0.493769083759285,3.77044274343837,1.91599862815968,0.284162544653102,0.202624973898048
767,1,2,0.01,0.159712960027215,0.493645100516175,3.59477469700782,1.91618017340114,0.128340768302355,0.197793754074213
768,0,2,0.01,0.219412859590588,0.493903566106895,3.96650145878293,1.91540145848583,0.53600453658678,0.797428633766464
769,1,2,0.01,0.219382792899871,0.494152196748235,3.88053473986615,1.91509362603469,0.159285650747038,0.202174215455452
770,1,2,0.01,0.17022825048569,0.494023906873442,3.61670577466649,1.91521408047353,0.100098527059322,0.197928437921993
771,0,2,0.01,0.239504527581193,0.494277966892435,4.02642817801865,1.91435773919416,0.490985846424345,0.797575736136305
772,1,2,0.01,0.227202242067704,0.494522575433718,3.88413072375201,1.91397706671263,0.135477619917745,0.20203352194832
773,1,2,0.01,0.175623176895657,0.494390798900609,3.60604070713482,1.91402986668124,0.0923536920687377,0.198065983076985
774,1,2,0.01,0.144168940877268,0.494254944744496,3.38758676568781,1.91460227656436,0.0562144782060072,0.197737873524755
775,1,2,0.01,0.115473942096067,0.49411963510203,3.16601568351301,1.91521336644122,0.0456387053072939,0.197680448702119
776,1,2,0.01,0.0963982910203204,0.493985363965794,2.9861433417045,1.91585455637952,0.0359696541622665,0.197628123147962
777,1,2,0.01,0.0816783491862701,0.493852121736703,2.82807250844135,1.91652471129031,0.030692440084627,0.197576553091127
